employee_id,client_id,product_id,location_id,trans_qty,trans_date
1,CXO,638,KS,681,2015-01-01
1,KO,642,NH,114,2015-01-02
1,AMD,643,SC,645,2015-01-03
1,HMC,639,MS,443,2015-01-04
1,CXO,638,MD,466,2015-01-05
1,KO,643,MN,580,2015-01-06
1,FANG,639,ID,370,2015-01-07
1,FANG,642,DC,458,2015-01-08
1,PFE,640,RI,123,2015-01-09
1,ALK,635,AS,170,2015-01-10
1,SHLD,640,ND,148,2015-01-11
1,SHLD,641,FL,327,2015-01-12
1,PFE,640,KY,336,2015-01-13
1,WHR,636,WV,38,2015-01-14
1,FANG,644,SC,649,2015-01-15
1,WHR,644,ID,299,2015-01-16
1,SHLD,635,AZ,493,2015-01-17
1,AMD,645,CO,394,2015-01-18
1,ACN,635,AL,519,2015-01-19
1,COG,643,MN,888,2015-01-20
1,BUD,640,SD,986,2015-01-21
1,COG,639,NJ,777,2015-01-22
1,MA,642,ME,344,2015-01-23
1,PFE,636,RI,956,2015-01-24
1,CXO,639,VI,11,2015-01-25
1,SHLD,638,NE,935,2015-01-26
1,TM,640,AK,102,2015-01-27
1,NVS,635,AK,587,2015-01-28
1,MA,637,MD,684,2015-01-29
1,NVS,639,ME,231,2015-01-30
1,ULTA,639,ID,395,2015-01-31
1,FANG,638,AR,77,2015-02-01
1,COG,636,TN,625,2015-02-02
1,MA,639,WI,465,2015-02-03
1,COG,642,IA,458,2015-02-04
1,ALK,637,WV,145,2015-02-05
1,WHR,644,MI,768,2015-02-06
1,HMC,636,TN,238,2015-02-07
1,TM,638,CT,573,2015-02-08
1,NVS,644,MP,217,2015-02-09
1,ACN,638,WV,274,2015-02-10
1,WHR,645,MO,448,2015-02-11
1,HMC,645,NH,216,2015-02-12
1,ACN,636,RI,793,2015-02-13
1,ULTA,638,CA,786,2015-02-14
1,KO,639,PR,785,2015-02-15
1,ALK,641,NC,171,2015-02-16
1,WHR,641,NY,847,2015-02-17
1,CXO,641,WV,598,2015-02-18
1,KO,637,KS,277,2015-02-19
1,HMC,645,HI,139,2015-02-20
1,HMC,643,IL,170,2015-02-21
1,AMD,645,AK,5,2015-02-22
1,WHR,639,AL,444,2015-02-23
1,NVS,643,RI,165,2015-02-24
1,ALK,645,ID,356,2015-02-25
1,WHR,643,MN,551,2015-02-26
1,FANG,642,OR,792,2015-02-27
1,BUD,643,NC,256,2015-02-28
1,ALK,636,NY,132,2015-03-01
1,KO,638,MD,633,2015-03-02
1,AMD,638,VA,443,2015-03-03
1,ULTA,644,IN,633,2015-03-04
1,SHLD,639,GA,17,2015-03-05
1,SHLD,635,NE,613,2015-03-06
1,TM,641,LA,220,2015-03-07
1,CXO,639,VT,216,2015-03-08
1,SHLD,636,PR,511,2015-03-09
1,COG,639,CO,422,2015-03-10
1,CXO,641,OR,999,2015-03-11
1,FANG,641,SD,0,2015-03-12
1,ALK,636,CO,920,2015-03-13
1,AMD,639,WI,102,2015-03-14
1,CXO,644,FL,316,2015-03-15
1,FANG,643,FL,182,2015-03-16
1,CXO,635,ND,934,2015-03-17
1,KO,642,GU,132,2015-03-18
1,SHLD,638,UT,994,2015-03-19
1,FANG,635,NM,984,2015-03-20
1,WHR,645,UT,241,2015-03-21
1,SHLD,642,MA,173,2015-03-22
1,ACN,635,GU,102,2015-03-23
1,CXO,644,MA,5,2015-03-24
1,SHLD,638,DE,711,2015-03-25
1,ACN,635,OH,461,2015-03-26
1,FANG,636,MN,35,2015-03-27
1,ACN,637,NM,358,2015-03-28
1,PFE,640,DC,165,2015-03-29
1,KO,643,VT,862,2015-03-30
1,MA,635,RI,731,2015-03-31
1,COG,637,KS,923,2015-04-01
1,HMC,637,DE,955,2015-04-02
1,FANG,642,GA,261,2015-04-03
1,SHLD,642,IL,959,2015-04-04
1,NVS,637,VT,433,2015-04-05
1,FANG,644,MP,404,2015-04-06
1,KO,645,MI,221,2015-04-07
1,WHR,645,VA,420,2015-04-08
1,CXO,638,SC,856,2015-04-09
1,TM,641,NM,696,2015-04-10
1,CXO,645,RI,797,2015-04-11
1,ALK,639,IN,620,2015-04-12
1,BUD,636,AK,114,2015-04-13
1,PFE,645,VI,52,2015-04-14
1,TM,635,GU,422,2015-04-15
1,KO,636,IN,830,2015-04-16
1,CXO,641,IA,585,2015-04-17
1,TM,638,UT,819,2015-04-18
1,SHLD,636,MP,578,2015-04-19
1,COG,645,VT,916,2015-04-20
1,BUD,641,AS,752,2015-04-21
1,WHR,645,VI,520,2015-04-22
1,COG,637,NC,449,2015-04-23
1,BUD,639,ME,322,2015-04-24
1,ULTA,637,MS,969,2015-04-25
1,ALK,645,WV,609,2015-04-26
1,ACN,641,HI,684,2015-04-27
1,ACN,637,MS,154,2015-04-28
1,TM,641,IL,262,2015-04-29
1,ALK,643,WY,554,2015-04-30
1,BUD,640,WV,575,2015-05-01
1,KO,643,IA,405,2015-05-02
1,KO,642,NV,781,2015-05-03
1,HMC,645,NM,252,2015-05-04
1,ULTA,638,WY,851,2015-05-05
1,NVS,640,CT,917,2015-05-06
1,ULTA,638,OK,993,2015-05-07
1,MA,635,OK,56,2015-05-08
1,KO,640,OR,724,2015-05-09
1,FANG,636,SC,250,2015-05-10
1,WHR,644,RI,795,2015-05-11
1,AMD,639,CO,681,2015-05-12
1,SHLD,644,AK,893,2015-05-13
1,HMC,636,MO,443,2015-05-14
1,WHR,645,MD,237,2015-05-15
1,ULTA,635,NH,921,2015-05-16
1,MA,640,SC,858,2015-05-17
1,FANG,642,OR,767,2015-05-18
1,ACN,635,ND,688,2015-05-19
1,ULTA,645,AR,22,2015-05-20
1,KO,640,UT,496,2015-05-21
1,CXO,637,FL,982,2015-05-22
1,HMC,643,OR,640,2015-05-23
1,NVS,643,GA,142,2015-05-24
1,KO,644,WY,812,2015-05-25
1,COG,644,OH,391,2015-05-26
1,WHR,639,MD,711,2015-05-27
1,AMD,635,MP,442,2015-05-28
1,PFE,641,IN,663,2015-05-29
1,CXO,641,CT,614,2015-05-30
1,TM,635,PA,195,2015-05-31
1,TM,642,ID,597,2015-06-01
1,KO,638,PA,381,2015-06-02
1,BUD,644,MD,148,2015-06-03
1,KO,641,MP,610,2015-06-04
1,COG,642,IN,758,2015-06-05
1,WHR,640,WY,165,2015-06-06
1,HMC,643,CO,461,2015-06-07
1,HMC,641,ND,770,2015-06-08
1,ULTA,639,PA,891,2015-06-09
1,PFE,642,IA,647,2015-06-10
1,MA,636,GA,326,2015-06-11
1,SHLD,638,ME,929,2015-06-12
1,PFE,643,NE,152,2015-06-13
1,BUD,639,IA,788,2015-06-14
1,AMD,645,NV,119,2015-06-15
1,ACN,635,LA,566,2015-06-16
1,ALK,640,VI,385,2015-06-17
1,ULTA,635,AL,488,2015-06-18
1,KO,636,VT,492,2015-06-19
1,FANG,641,CA,594,2015-06-20
1,ACN,637,RI,23,2015-06-21
1,TM,645,LA,583,2015-06-22
1,ALK,641,VA,503,2015-06-23
1,ULTA,644,CO,243,2015-06-24
1,COG,640,AL,869,2015-06-25
1,WHR,641,HI,639,2015-06-26
1,COG,641,ND,552,2015-06-27
1,TM,645,MA,817,2015-06-28
1,MA,636,MS,347,2015-06-29
1,ACN,645,OR,875,2015-06-30
1,ULTA,637,CO,828,2015-07-01
1,BUD,635,UT,282,2015-07-02
1,FANG,638,VA,192,2015-07-03
1,ULTA,645,AL,331,2015-07-04
1,HMC,644,IA,403,2015-07-05
1,AMD,637,AZ,915,2015-07-06
1,ALK,644,NH,709,2015-07-07
1,SHLD,639,IA,516,2015-07-08
1,BUD,636,VT,548,2015-07-09
1,NVS,638,MP,143,2015-07-10
1,BUD,635,TX,804,2015-07-11
1,NVS,635,HI,913,2015-07-12
1,TM,639,NH,893,2015-07-13
1,COG,645,PA,808,2015-07-14
1,KO,645,PR,46,2015-07-15
1,AMD,636,CA,156,2015-07-16
1,ULTA,644,TX,633,2015-07-17
1,HMC,637,NY,789,2015-07-18
1,SHLD,644,SC,253,2015-07-19
1,TM,643,WY,359,2015-07-20
1,NVS,639,UT,685,2015-07-21
1,HMC,640,WA,513,2015-07-22
1,ACN,643,RI,57,2015-07-23
1,WHR,643,WY,444,2015-07-24
1,MA,639,NV,127,2015-07-25
1,SHLD,645,WY,268,2015-07-26
1,TM,635,KS,630,2015-07-27
1,ALK,642,NY,48,2015-07-28
1,AMD,645,MS,727,2015-07-29
1,MA,635,WV,126,2015-07-30
1,TM,635,MO,132,2015-07-31
1,COG,644,NY,393,2015-08-01
1,ALK,642,CT,532,2015-08-02
1,ACN,639,ID,41,2015-08-03
1,PFE,638,CT,215,2015-08-04
1,BUD,645,MT,406,2015-08-05
1,ALK,640,AZ,328,2015-08-06
1,ACN,637,CT,742,2015-08-07
1,WHR,642,ID,512,2015-08-08
1,TM,637,VA,294,2015-08-09
1,FANG,637,SC,681,2015-08-10
1,PFE,641,SC,12,2015-08-11
1,PFE,639,MO,306,2015-08-12
1,PFE,638,OR,990,2015-08-13
1,AMD,639,WY,256,2015-08-14
1,TM,643,ME,888,2015-08-15
1,COG,642,GA,656,2015-08-16
1,CXO,645,KS,957,2015-08-17
1,KO,637,MD,620,2015-08-18
1,TM,645,VT,670,2015-08-19
1,ACN,635,MA,53,2015-08-20
1,CXO,645,TN,785,2015-08-21
1,KO,637,UT,402,2015-08-22
1,MA,638,WA,858,2015-08-23
1,AMD,640,WV,620,2015-08-24
1,HMC,639,CT,112,2015-08-25
1,ULTA,643,ME,940,2015-08-26
1,SHLD,637,AL,235,2015-08-27
1,COG,635,IA,360,2015-08-28
1,NVS,640,AR,186,2015-08-29
1,AMD,639,NY,418,2015-08-30
1,NVS,639,AZ,279,2015-08-31
1,NVS,643,FL,814,2015-09-01
1,FANG,639,CT,355,2015-09-02
1,WHR,635,NC,821,2015-09-03
1,BUD,643,NE,187,2015-09-04
1,ACN,635,WY,764,2015-09-05
1,COG,636,MP,49,2015-09-06
1,COG,639,AL,314,2015-09-07
1,ALK,644,MA,388,2015-09-08
1,WHR,645,DE,82,2015-09-09
1,COG,644,WV,199,2015-09-10
1,NVS,636,IL,81,2015-09-11
1,COG,643,CO,19,2015-09-12
1,KO,635,MS,947,2015-09-13
1,ULTA,641,PR,91,2015-09-14
1,TM,643,CT,321,2015-09-15
1,NVS,636,WV,155,2015-09-16
1,HMC,636,GA,452,2015-09-17
1,MA,645,AZ,12,2015-09-18
1,COG,644,TN,657,2015-09-19
1,ACN,640,IA,127,2015-09-20
1,PFE,644,TN,83,2015-09-21
1,COG,641,WV,475,2015-09-22
1,ULTA,644,LA,70,2015-09-23
1,NVS,644,NV,243,2015-09-24
1,COG,636,VA,198,2015-09-25
1,MA,635,WV,572,2015-09-26
1,FANG,640,AL,438,2015-09-27
1,ALK,645,NV,222,2015-09-28
1,ULTA,635,MN,897,2015-09-29
1,BUD,637,PA,71,2015-09-30
1,HMC,639,WY,526,2015-10-01
1,NVS,642,TX,883,2015-10-02
1,FANG,640,NV,666,2015-10-03
1,ULTA,642,WI,698,2015-10-04
1,NVS,643,GU,23,2015-10-05
1,BUD,641,AL,836,2015-10-06
1,MA,641,WA,438,2015-10-07
1,MA,644,ID,243,2015-10-08
1,CXO,638,VT,969,2015-10-09
1,COG,636,MI,298,2015-10-10
1,ULTA,638,IL,331,2015-10-11
1,HMC,640,MS,164,2015-10-12
1,FANG,639,CO,936,2015-10-13
1,KO,643,VT,854,2015-10-14
1,CXO,635,SC,355,2015-10-15
1,HMC,640,MT,715,2015-10-16
1,HMC,640,VA,499,2015-10-17
1,NVS,636,VT,408,2015-10-18
1,SHLD,635,WI,795,2015-10-19
1,BUD,641,SD,224,2015-10-20
1,BUD,638,OK,128,2015-10-21
1,NVS,642,KY,241,2015-10-22
1,MA,645,NY,976,2015-10-23
1,CXO,644,DE,683,2015-10-24
1,PFE,636,MO,373,2015-10-25
1,CXO,638,WY,457,2015-10-26
1,WHR,640,DE,720,2015-10-27
1,NVS,638,MA,756,2015-10-28
1,ULTA,644,NV,205,2015-10-29
1,TM,637,PR,361,2015-10-30
1,HMC,640,GA,485,2015-10-31
1,KO,635,ID,602,2015-11-01
1,ACN,640,VA,575,2015-11-02
1,AMD,639,KS,898,2015-11-03
1,MA,637,NM,190,2015-11-04
1,FANG,636,NV,532,2015-11-05
1,PFE,641,IL,675,2015-11-06
1,NVS,642,DE,379,2015-11-07
1,CXO,644,ID,968,2015-11-08
